scenario_id,paper_display_name,hazard_family,weather,time_of_day,frame_id,temporal_order,dataset_path,sha256,width,height,visual_verification_status
ambulance_stuck_at_railroad_crossing,Ambulance stuck at crossing,traffic_control,Clear,Night,front_frame_00000040,1,evaluation_20260909/ambulance_stuck_at_railroad_crossing/night__clear/front_frame_00000040.png,ba7e67467a00af29e33844293dcea108e9c63f79ff66820d7e37475abbc724eb,1280,720,human_verified
ambulance_stuck_at_railroad_crossing,Ambulance stuck at crossing,traffic_control,Clear,Night,front_frame_00000120,2,evaluation_20260909/ambulance_stuck_at_railroad_crossing/night__clear/front_frame_00000120.png,f79448b4d33ed91dc74543dd22711165061eaed344bcd80a01ce020fdc1201ce,1280,720,human_verified
ambulance_stuck_at_railroad_crossing,Ambulance stuck at crossing,traffic_control,Clear,Night,front_frame_00000200,3,evaluation_20260909/ambulance_stuck_at_railroad_crossing/night__clear/front_frame_00000200.png,3521d8a3d96d795dd25501dac0e9700245817ce2da0f129e8a5856459f2a1c3d,1280,720,human_verified
ambulance_stuck_at_railroad_crossing,Ambulance stuck at crossing,traffic_control,Clear,Night,front_frame_00000280,4,evaluation_20260909/ambulance_stuck_at_railroad_crossing/night__clear/front_frame_00000280.png,b34cbe10a2de7b9cefb0ac028faa6ee92d39eb085820824e7b224c2bc9a09309,1280,720,human_verified
ambulance_stuck_at_railroad_crossing,Ambulance stuck at crossing,traffic_control,Clear,Night,front_frame_00000360,5,evaluation_20260909/ambulance_stuck_at_railroad_crossing/night__clear/front_frame_00000360.png,48dfe3465e7b55e4a6ef581e6a4220700818cd28a75c8aefb47625cf15b3bae1,1280,720,human_verified
ambulance_stuck_at_railroad_crossing,Ambulance stuck at crossing,traffic_control,Foggy,Night,front_frame_00000040,1,evaluation_20260909/ambulance_stuck_at_railroad_crossing/night__foggy/front_frame_00000040.png,3da7c8d4bd6b9bf80afeef5391cdcc172850679ac0e93df1b486461c64c74d7e,1280,720,human_verified
ambulance_stuck_at_railroad_crossing,Ambulance stuck at crossing,traffic_control,Foggy,Night,front_frame_00000120,2,evaluation_20260909/ambulance_stuck_at_railroad_crossing/night__foggy/front_frame_00000120.png,7de97d8f0f830ea378d17cebc85e2c6cc31f9e8e37850093028e272f88b050af,1280,720,human_verified
ambulance_stuck_at_railroad_crossing,Ambulance stuck at crossing,traffic_control,Foggy,Night,front_frame_00000200,3,evaluation_20260909/ambulance_stuck_at_railroad_crossing/night__foggy/front_frame_00000200.png,9570ca30c4bedf613a13621e84895ec1fcd3f626f6a7ae7e4ae7d496aa781e3f,1280,720,human_verified
ambulance_stuck_at_railroad_crossing,Ambulance stuck at crossing,traffic_control,Foggy,Night,front_frame_00000280,4,evaluation_20260909/ambulance_stuck_at_railroad_crossing/night__foggy/front_frame_00000280.png,07b71e10445ee15103e6511b9a1a67a2ed7349f466e238c469a1776e5fed2436,1280,720,human_verified
ambulance_stuck_at_railroad_crossing,Ambulance stuck at crossing,traffic_control,Foggy,Night,front_frame_00000360,5,evaluation_20260909/ambulance_stuck_at_railroad_crossing/night__foggy/front_frame_00000360.png,8253713e24fab65ef616a7760fa05b3d11a942a1e629dc4b8d67e8be3eb2764f,1280,720,human_verified
ambulance_stuck_at_railroad_crossing,Ambulance stuck at crossing,traffic_control,Heavy Rainy,Night,front_frame_00000040,1,evaluation_20260909/ambulance_stuck_at_railroad_crossing/night__storm/front_frame_00000040.png,4f3087185b50fe6f29c6c0df868d6bdb9052e83d86932ca07bed4abcb14e54a8,1280,720,human_verified
